CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
420000,湖北,2022-01-21,68320,63805,4512,0,0,0
420100,武汉,2022-01-21,50380,46511,3869,0,,
420900,孝感,2022-01-21,3518,3389,129,0,,
421100,黄冈,2022-01-21,2912,2787,125,0,,
421000,荆州,2022-01-21,1582,1530,52,0,,
420700,鄂州,2022-01-21,1395,1336,59,0,,
421300,随州,2022-01-21,1307,1262,45,0,,
420600,襄阳,2022-01-21,1175,1135,40,0,,
420200,黄石,2022-01-21,1015,976,39,0,,
420800,荆门,2022-01-21,971,930,41,0,,
420500,宜昌,2022-01-21,931,894,37,0,,
421200,咸宁,2022-01-21,836,821,15,0,,
420300,十堰,2022-01-21,672,664,8,0,,
422900,仙桃,2022-01-21,575,553,22,0,,
429006,天门,2022-01-21,498,483,15,0,,
422800,恩施州,2022-01-21,252,245,7,0,,
423000,潜江,2022-01-21,198,189,9,0,,
C202008021801251,境外输入,2022-01-21,92,89,0,0,,
C202006211219071,神农架,2022-01-21,11,11,0,0,,
700000,台湾,2022-01-21,18042,13742,851,0,0,0
C202006211529122,未明确地区,2022-01-21,18042,13742,851,0,,
810000,香港,2022-01-21,12889,12474,213,0,0,0
C202006211424032,未明确地区,2022-01-21,12889,12474,213,0,,
440000,广东,2022-01-21,3703,3457,8,14,8,0
C202006211224112,境外输入,2022-01-21,2058,1862,0,10,,
440100,广州,2022-01-21,526,522,1,0,,
440300,深圳,2022-01-21,448,428,3,0,,
441900,东莞,2022-01-21,128,101,1,0,,
440400,珠海,2022-01-21,127,97,1,4,,
440600,佛山,2022-01-21,101,101,0,0,,
442000,中山,2022-01-21,70,67,0,0,,
441300,惠州,2022-01-21,62,62,0,0,,
440500,汕头,2022-01-21,25,25,0,0,,
440800,湛江,2022-01-21,23,23,0,0,,
440700,江门,2022-01-21,23,23,0,0,,
441200,肇庆,2022-01-21,19,18,1,0,,
441400,梅州,2022-01-21,17,16,0,0,,
441700,阳江,2022-01-21,14,14,0,0,,
440900,茂名,2022-01-21,14,14,0,0,,
441800,清远,2022-01-21,12,12,0,0,,
440200,韶关,2022-01-21,10,9,1,0,,
445200,揭阳,2022-01-21,10,10,0,0,,
441500,汕尾,2022-01-21,6,6,0,0,,
441600,河源,2022-01-21,5,5,0,0,,
445100,潮州,2022-01-21,5,5,0,0,,
924400,未明确地区,2022-01-21,0,37,0,0,,
310000,上海,2022-01-21,3611,3156,7,28,47,0
C202006211504251,境外输入,2022-01-21,3221,2775,0,28,,
310100,外地来沪,2022-01-21,113,112,1,0,,
C202006211504253,浦东,2022-01-21,82,81,1,0,,
