CityName,CityShortName,CityCode,LastUpdate,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
北京市,北京,11,2022-01-11,1219.0,1199.0,9.0,1.0,0.0,0.0
东城区,东城,110101,2022-01-11,19.0,19.0,0.0,0.0,,
西城区,西城,110102,2022-01-11,59.0,59.0,0.0,0.0,,
朝阳区,朝阳,110105,2022-01-11,84.0,80.0,0.0,0.0,,
丰台区,丰台,110106,2022-01-11,277.0,273.0,0.0,0.0,,
石景山区,石景山,110107,2022-01-11,15.0,15.0,0.0,0.0,,
海淀区,海淀,110108,2022-01-11,90.0,82.0,0.0,0.0,,
门头沟区,门头沟,110109,2022-01-11,5.0,5.0,0.0,0.0,,
房山区,房山,110111,2022-01-11,25.0,20.0,0.0,0.0,,
通州区,通州,110112,2022-01-11,21.0,11.0,9.0,0.0,,
顺义区,顺义,110113,2022-01-11,45.0,45.0,0.0,0.0,,
昌平区,昌平,110114,2022-01-11,69.0,32.0,0.0,0.0,,
大兴区,大兴,110115,2022-01-11,134.0,134.0,0.0,0.0,,
怀柔区,怀柔,110116,2022-01-11,8.0,8.0,0.0,0.0,,
平谷区,平谷,110117,2020-08-20,0.0,0.0,0.0,0.0,0.0,0.0
密云区,,110118,,,,,,,
延庆区,,110119,,,,,,,
天津市,天津,12,2022-01-11,683.0,547.0,3.0,33.0,6.0,0.0
和平区,和平,120101,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
河东区,河东,120102,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
河西区,河西,120103,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
南开区,南开,120104,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
河北区,河北,120105,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
红桥区,红桥,120106,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
东丽区,东丽,120110,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
西青区,西青,120111,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
津南区,津南,120112,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
北辰区,北辰,120113,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
武清区,武清,120114,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
宝坻区,宝坻,120115,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
滨海新区,滨海新区,120116,2022-01-11,13.0,13.0,0.0,0.0,,
宁河区,,120117,,,,,,,
静海区,,120118,,,,,,,
蓟州区,,120119,,,,,,,
河北省,河北,13,2022-01-11,1458.0,1451.0,7.0,0.0,0.0,0.0
石家庄市,石家庄,1301,2022-01-11,963.0,962.0,1.0,0.0,,
唐山市,唐山,1302,2022-01-11,58.0,57.0,1.0,0.0,,
