CityCode,CityName,LastUpdate,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
42.0,湖北,2022-01-12,68320,63804,4512,0,0.0,0.0
4201.0,武汉,2022-01-12,50380,46511,3869,0,,
4209.0,孝感,2022-01-12,3518,3389,129,0,,
4211.0,黄冈,2022-01-12,2912,2787,125,0,,
4210.0,荆州,2022-01-12,1582,1530,52,0,,
4207.0,鄂州,2022-01-12,1395,1336,59,0,,
4213.0,随州,2022-01-12,1307,1262,45,0,,
4206.0,襄阳,2022-01-12,1175,1135,40,0,,
4202.0,黄石,2022-01-12,1015,976,39,0,,
4208.0,荆门,2022-01-12,971,930,41,0,,
4205.0,宜昌,2022-01-12,931,894,37,0,,
4212.0,咸宁,2022-01-12,836,821,15,0,,
4203.0,十堰,2022-01-12,672,664,8,0,,
4229.0,仙桃,2022-01-12,575,553,22,0,,
429006.0,天门,2022-01-12,498,483,15,0,,
4228.0,恩施州,2022-01-12,252,245,7,0,,
4230.0,潜江,2022-01-12,198,189,9,0,,
4231.0,神农架林区,2020-09-13,0,0,0,0,0.0,0.0
70.0,台湾,2022-01-12,17463,13742,850,69,0.0,0.0
81.0,香港,2022-01-12,12809,12304,213,17,8.0,0.0
44.0,广东,2022-01-12,3584,3386,8,27,5.0,0.0
4401.0,广州,2022-01-12,526,522,1,0,,
4403.0,深圳,2022-01-12,442,428,3,7,,
4419.0,东莞,2022-01-12,128,101,1,0,,
4406.0,佛山,2022-01-12,101,101,0,0,,
4404.0,珠海,2022-01-12,98,97,1,0,,
4420.0,中山,2022-01-12,68,67,0,0,,
4413.0,惠州,2022-01-12,62,62,0,0,,
4405.0,汕头,2022-01-12,25,25,0,0,,
4408.0,湛江,2022-01-12,23,23,0,0,,
4407.0,江门,2022-01-12,23,23,0,0,,
4412.0,肇庆,2022-01-12,19,18,1,0,,
4414.0,梅州,2022-01-12,16,16,0,0,,
4417.0,阳江,2022-01-12,14,14,0,0,,
4409.0,茂名,2022-01-12,14,14,0,0,,
4418.0,清远,2022-01-12,12,12,0,0,,
4402.0,韶关,2022-01-12,10,9,1,0,,
4452.0,揭阳,2022-01-12,10,10,0,0,,
4415.0,汕尾,2022-01-12,6,6,0,0,,
4416.0,河源,2022-01-12,5,5,0,0,,
4451.0,潮州,2022-01-12,5,5,0,0,,
4453.0,云浮,2020-09-13,0,0,0,0,0.0,0.0
31.0,上海,2022-01-12,3372,3017,7,20,12.0,0.0
3101.0,外地来沪,2022-01-12,113,112,1,0,,
310113.0,宝山,2022-01-12,26,25,1,0,,
310101.0,黄浦,2022-01-12,22,22,0,0,,
310112.0,闵行,2022-01-12,19,19,0,0,,
310104.0,徐汇,2022-01-12,18,17,1,0,,
310106.0,静安,2022-01-12,17,16,1,0,,
310117.0,松江,2022-01-12,16,16,0,0,,
310105.0,长宁,2022-01-12,14,14,0,0,,
310107.0,普陀,2022-01-12,11,11,0,0,,
310120.0,奉贤,2022-01-12,9,9,0,0,,
310114.0,嘉定,2022-01-12,9,7,2,0,,
310110.0,杨浦,2022-01-12,9,9,0,0,,
310118.0,青浦,2022-01-12,7,7,0,0,,
310109.0,虹口,2022-01-12,7,7,0,0,,
310116.0,金山,2022-01-12,4,4,0,0,,
310130.0,崇明,2022-01-12,4,4,0,0,,
310115.0,浦东新区,2020-08-14,0,0,0,0,0.0,0.0
310108.0,闸北,2020-08-14,0,0,0,0,0.0,0.0
61.0,陕西,2022-01-12,2798,1154,3,8,131.0,0.0
6101.0,西安,2022-01-12,2160,549,3,8,,
6104.0,咸阳,2022-01-12,31,21,0,0,,
6107.0,汉中,2022-01-12,26,26,0,0,,
6109.0,安康,2022-01-12,26,26,0,0,,
6106.0,延安,2022-01-12,21,8,0,0,,
6105.0,渭南,2022-01-12,18,17,0,0,,
6103.0,宝鸡,2022-01-12,13,13,0,0,,
6102.0,铜川,2022-01-12,8,8,0,0,,
6110.0,商洛,2022-01-12,7,7,0,0,,
6108.0,榆林,2022-01-12,3,3,0,0,,
41.0,河南,2022-01-12,2147,1608,22,118,1.0,0.0
4101.0,郑州,2022-01-12,464,325,5,12,,
4110.0,许昌,2022-01-12,315,38,1,41,,
4115.0,信阳,2022-01-12,276,272,2,0,,
4113.0,南阳,2022-01-12,156,153,3,0,,
4117.0,驻马店,2022-01-12,143,140,0,0,,
4105.0,安阳,2022-01-12,139,54,0,65,,
4114.0,商丘,2022-01-12,109,101,3,0,,
4116.0,周口,2022-01-12,101,76,1,0,,
4104.0,平顶山,2022-01-12,58,57,1,0,,
4107.0,新乡,2022-01-12,57,54,3,0,,
4103.0,洛阳,2022-01-12,41,30,1,0,,
4111.0,漯河,2022-01-12,36,36,0,0,,
4102.0,开封,2022-01-12,33,30,0,0,,
4108.0,焦作,2022-01-12,32,31,1,0,,
4106.0,鹤壁,2022-01-12,19,19,0,0,,
4109.0,濮阳,2022-01-12,17,17,0,0,,
4112.0,三门峡,2022-01-12,7,6,1,0,,
4190.0,济源,2020-09-13,0,0,0,0,0.0,0.0
33.0,浙江,2022-01-12,2086,1542,1,1,0.0,0.0
3303.0,温州,2022-01-12,504,503,1,0,,
3306.0,绍兴,2022-01-12,429,92,0,0,,
3302.0,宁波,2022-01-12,269,159,0,0,,
3301.0,杭州,2022-01-12,213,185,0,0,,
3310.0,台州,2022-01-12,147,147,0,0,,
3307.0,金华,2022-01-12,57,55,0,0,,
3304.0,嘉兴,2022-01-12,46,46,0,0,,
3311.0,丽水,2022-01-12,17,17,0,0,,
3308.0,衢州,2022-01-12,14,14,0,0,,
3305.0,湖州,2022-01-12,10,10,0,0,,
3309.0,舟山,2022-01-12,10,10,0,0,,
23.0,黑龙江,2022-01-12,2035,2022,13,0,0.0,0.0
2301.0,哈尔滨,2022-01-12,546,542,4,0,,
2312.0,绥化,2022-01-12,537,533,4,0,,
2311.0,黑河,2022-01-12,295,295,0,0,,
2305.0,双鸭山,2022-01-12,52,49,3,0,,
2303.0,鸡西,2022-01-12,46,46,0,0,,
2302.0,齐齐哈尔,2022-01-12,45,44,1,0,,
2310.0,牡丹江,2022-01-12,36,36,0,0,,
2306.0,大庆,2022-01-12,29,28,1,0,,
2309.0,七台河,2022-01-12,17,17,0,0,,
2308.0,佳木斯,2022-01-12,15,15,0,0,,
2304.0,鹤岗,2022-01-12,5,5,0,0,,
2327.0,大兴安岭,2022-01-12,3,3,0,0,,
2307.0,伊春,2022-01-12,1,1,0,0,,
53.0,云南,2022-01-12,1838,1772,2,0,7.0,0.0
5301.0,昆明,2022-01-12,58,53,0,0,,
5304.0,玉溪,2022-01-12,14,13,1,0,,
5329.0,大理,2022-01-12,13,13,0,0,,
5303.0,曲靖,2022-01-12,13,13,0,0,,
5325.0,红河,2022-01-12,9,9,0,0,,
5308.0,普洱,2022-01-12,4,4,0,0,,
5326.0,文山州,2022-01-12,2,2,0,0,,
5309.0,临沧,2022-01-12,1,1,0,0,,
5307.0,丽江,2020-07-22,0,0,0,0,0.0,0.0
5331.0,德宏,2020-07-22,0,0,0,0,0.0,0.0
5323.0,楚雄,2020-07-22,0,0,0,0,0.0,0.0
5334.0,迪庆藏族自治州,2020-07-22,0,0,0,0,0.0,0.0
5305.0,保山,2020-07-22,0,0,0,0,0.0,0.0
5333.0,怒江傈僳族自治州,2020-07-22,0,0,0,0,0.0,0.0
5328.0,西双版纳,2020-07-22,0,0,0,0,0.0,0.0
5306.0,昭通,2020-07-22,0,0,0,0,0.0,0.0
32.0,江苏,2022-01-12,1629,1622,0,1,0.0,0.0
3210.0,扬州,2022-01-12,593,593,0,0,,
3201.0,南京,2022-01-12,331,330,0,0,,
3205.0,苏州,2022-01-12,87,87,0,0,,
3203.0,徐州,2022-01-12,79,79,0,0,,
3208.0,淮安,2022-01-12,78,78,0,0,,
3202.0,无锡,2022-01-12,55,55,0,0,,
3204.0,常州,2022-01-12,54,54,0,0,,
3207.0,连云港,2022-01-12,48,48,0,0,,
3206.0,南通,2022-01-12,40,40,0,0,,
3212.0,泰州,2022-01-12,37,37,0,0,,
3209.0,盐城,2022-01-12,27,27,0,0,,
3213.0,宿迁,2022-01-12,16,16,0,0,,
3211.0,镇江,2022-01-12,12,12,0,0,,
13.0,河北,2022-01-12,1458,1451,7,0,0.0,0.0
1301.0,石家庄,2022-01-12,963,962,1,0,,
1305.0,邢台,2022-01-12,96,95,1,0,,
1302.0,唐山,2022-01-12,58,57,1,0,,
1306.0,保定,2022-01-12,51,51,0,0,,
1309.0,沧州,2022-01-12,49,46,3,0,,
1307.0,张家口,2022-01-12,43,43,0,0,,
1310.0,廊坊,2022-01-12,33,33,0,0,,
1304.0,邯郸,2022-01-12,32,32,0,0,,
1303.0,秦皇岛,2022-01-12,10,9,1,0,,
1311.0,衡水,2022-01-12,8,8,0,0,,
1308.0,承德,2022-01-12,7,7,0,0,,
35.0,福建,2022-01-12,1429,1331,1,4,0.0,0.0
3502.0,厦门,2022-01-12,276,275,0,0,,
3503.0,莆田,2022-01-12,261,261,0,0,,
3501.0,福州,2022-01-12,72,71,1,0,,
3505.0,泉州,2022-01-12,71,71,0,0,,
3509.0,宁德,2022-01-12,26,26,0,0,,
3506.0,漳州,2022-01-12,23,23,0,0,,
3507.0,南平,2022-01-12,20,20,0,0,,
3504.0,三明,2022-01-12,14,14,0,0,,
3508.0,龙岩,2022-01-12,6,6,0,0,,
51.0,四川,2022-01-12,1345,1307,3,1,3.0,0.0
5101.0,成都,2022-01-12,191,173,3,0,,
5117.0,达州,2022-01-12,42,42,0,0,,
5113.0,南充,2022-01-12,39,39,0,0,,
5116.0,广安,2022-01-12,30,30,0,0,,
5105.0,泸州,2022-01-12,25,25,0,0,,
5119.0,巴中,2022-01-12,24,24,0,0,,
5107.0,绵阳,2022-01-12,23,23,0,0,,
5110.0,内江,2022-01-12,22,22,0,0,,
5106.0,德阳,2022-01-12,18,18,0,0,,
5109.0,遂宁,2022-01-12,17,17,0,0,,
5104.0,攀枝花,2022-01-12,16,16,0,0,,
5134.0,凉山,2022-01-12,13,13,0,0,,
5115.0,宜宾,2022-01-12,13,13,0,0,,
5103.0,自贡,2022-01-12,10,10,0,0,,
5118.0,雅安,2022-01-12,8,8,0,0,,
5114.0,眉山,2022-01-12,8,8,0,0,,
5108.0,广元,2022-01-12,6,6,0,0,,
5120.0,资阳,2022-01-12,4,4,0,0,,
5111.0,乐山,2022-01-12,3,3,0,0,,
5133.0,甘孜州,2020-06-21,0,0,0,0,0.0,0.0
5132.0,阿坝州,2020-06-21,0,0,0,0,0.0,0.0
43.0,湖南,2022-01-12,1229,1199,4,0,0.0,0.0
4301.0,长沙,2022-01-12,247,245,2,0,,
4306.0,岳阳,2022-01-12,156,155,1,0,,
4302.0,株洲,2022-01-12,110,110,0,0,,
4305.0,邵阳,2022-01-12,102,101,1,0,,
4307.0,常德,2022-01-12,82,82,0,0,,
4308.0,张家界,2022-01-12,77,77,0,0,,
4313.0,娄底,2022-01-12,76,76,0,0,,
4309.0,益阳,2022-01-12,63,63,0,0,,
4304.0,衡阳,2022-01-12,48,48,0,0,,
4311.0,永州,2022-01-12,44,44,0,0,,
4312.0,怀化,2022-01-12,40,40,0,0,,
4310.0,郴州,2022-01-12,39,39,0,0,,
4303.0,湘潭,2022-01-12,38,38,0,0,,
4331.0,湘西自治州,2022-01-12,10,10,0,0,,
11.0,北京,2022-01-12,1221,1199,9,2,0.0,0.0
110106.0,丰台,2022-01-12,277,273,0,0,,
110115.0,大兴,2022-01-12,134,134,0,0,,
110108.0,海淀,2022-01-12,90,82,0,0,,
110105.0,朝阳,2022-01-12,84,80,0,0,,
110114.0,昌平,2022-01-12,69,32,0,0,,
110102.0,西城,2022-01-12,59,59,0,0,,
110113.0,顺义,2022-01-12,45,45,0,0,,
110111.0,房山,2022-01-12,25,20,0,0,,
1101.0,外地来京,2022-01-12,25,25,0,0,,
110112.0,通州,2022-01-12,21,11,9,0,,
110101.0,东城,2022-01-12,19,19,0,0,,
110107.0,石景山,2022-01-12,15,15,0,0,,
110116.0,怀柔,2022-01-12,8,8,0,0,,
110228.0,密云,2022-01-12,7,7,0,0,,
110109.0,门头沟,2022-01-12,5,5,0,0,,
110229.0,延庆,2022-01-12,1,1,0,0,,
110117.0,平谷,2020-08-20,0,0,0,0,0.0,0.0
15.0,内蒙古,2022-01-12,1191,1185,1,0,0.0,0.0
1507.0,呼伦贝尔,2022-01-12,596,596,0,0,,
1529.0,阿拉善盟,2022-01-12,165,165,0,0,,
1506.0,鄂尔多斯,2022-01-12,12,12,0,0,,
1502.0,包头,2022-01-12,11,11,0,0,,
1501.0,呼和浩特,2022-01-12,10,10,0,0,,
1504.0,赤峰,2022-01-12,9,9,0,0,,
1505.0,通辽,2022-01-12,9,9,0,0,,
1508.0,巴彦淖尔,2022-01-12,8,7,1,0,,
1509.0,乌兰察布,2022-01-12,3,3,0,0,,
1503.0,乌海,2022-01-12,2,2,0,0,,
1525.0,锡林郭勒盟,2021-10-15,1,0,0,1,,
1522.0,兴安盟,2022-01-12,1,1,0,0,,
37.0,山东,2022-01-12,1050,1021,7,0,1.0,0.0
3708.0,济宁,2022-01-12,260,260,0,0,,
3702.0,青岛,2022-01-12,80,79,1,0,,
3706.0,烟台,2022-01-12,58,58,0,0,,
3713.0,临沂,2022-01-12,49,49,0,0,,
3701.0,济南,2022-01-12,47,47,0,0,,
3707.0,潍坊,2022-01-12,44,44,0,0,,
3715.0,聊城,2022-01-12,38,38,0,0,,
3710.0,威海,2022-01-12,38,37,1,0,,
3714.0,德州,2022-01-12,37,35,2,0,,
3709.0,泰安,2022-01-12,35,33,2,0,,
3703.0,淄博,2022-01-12,30,29,1,0,,
3711.0,日照,2022-01-12,30,30,0,0,,
3704.0,枣庄,2022-01-12,24,24,0,0,,
3717.0,菏泽,2022-01-12,18,18,0,0,,
3716.0,滨州,2022-01-12,15,15,0,0,,
3705.0,东营,2020-06-21,0,0,0,0,0.0,0.0
3712.0,莱芜,2020-06-21,0,0,0,0,0.0,0.0
34.0,安徽,2022-01-12,1009,1003,6,0,0.0,0.0
3401.0,合肥,2022-01-12,176,175,1,0,,
3403.0,蚌埠,2022-01-12,160,155,5,0,,
3412.0,阜阳,2022-01-12,156,156,0,0,,
3416.0,亳州,2022-01-12,108,108,0,0,,
3408.0,安庆,2022-01-12,83,83,0,0,,
3415.0,六安,2022-01-12,77,77,0,0,,
3413.0,宿州,2022-01-12,42,42,0,0,,
3405.0,马鞍山,2022-01-12,38,38,0,0,,
3402.0,芜湖,2022-01-12,34,34,0,0,,
3407.0,铜陵,2022-01-12,29,29,0,0,,
