CityName,CityShortName,CityCode,ParentCode,LastUpdate,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
北京市,北京,11,0,2022-06-04,3410,3093,9,9,52.0,0.0
东城区,东城,110101,11,2022-06-04,66,6,0,0,,
西城区,西城,110102,11,2022-06-04,97,6,0,0,,
朝阳区,朝阳,110105,11,2022-06-04,510,21,0,2,,
丰台区,丰台,110106,11,2022-06-04,698,237,0,0,,
石景山区,石景山,110107,11,2022-06-04,32,12,0,0,,
海淀区,海淀,110108,11,2022-06-04,343,26,0,0,,
门头沟区,门头沟,110109,11,2022-06-04,13,4,0,0,,
房山区,房山,110111,11,2022-06-04,331,12,0,0,,
通州区,通州,110112,11,2022-06-04,101,3,9,0,,
顺义区,顺义,110113,11,2022-06-04,99,45,0,0,,
昌平区,昌平,110114,11,2022-06-04,94,50,0,2,,
大兴区,大兴,110115,11,2022-06-04,162,111,0,0,,
怀柔区,怀柔,110116,11,2022-06-04,8,8,0,0,,
平谷区,平谷,110117,11,2020-08-20,0,0,0,0,0.0,0.0
密云区,密云,110118,11,2022-06-04,9,7,0,0,,
延庆区,延庆,110119,11,2022-06-04,2,0,0,0,,
天津市,天津,12,0,2022-06-04,1975,1824,3,0,0.0,0.0
和平区,和平区,120101,12,2022-06-04,13,6,0,0,,
河东区,河东区,120102,12,2022-06-04,36,33,1,0,,
河西区,河西区,120103,12,2022-06-04,33,28,0,0,,
南开区,南开区,120104,12,2022-06-04,42,37,0,0,,
河北区,河北,120105,12,2022-06-04,2005,1997,7,0,0.0,0.0
红桥区,红桥区,120106,12,2022-06-04,38,36,0,0,,
东丽区,东丽区,120110,12,2022-06-04,36,32,0,0,,
西青区,西青区,120111,12,2022-06-04,209,206,0,0,,
津南区,津南区,120112,12,2022-06-04,367,364,0,0,,
北辰区,北辰区,120113,12,2022-06-04,33,23,0,0,,
武清区,武清区,120114,12,2022-06-04,151,151,0,0,,
宝坻区,宝坻区,120115,12,2022-06-04,66,64,2,0,,
滨海新区,滨海新区,120116,12,2022-06-04,88,86,0,0,,
宁河区,宁河区,120117,12,2022-06-04,6,6,0,0,,
静海区,静海区,120118,12,2022-06-04,11,11,0,0,,
蓟州区,蓟州区,120119,12,2022-06-04,0,0,0,0,,
河北省,河北,13,0,2022-06-04,2005,1997,7,0,0.0,0.0
石家庄市,石家庄,1301,13,2022-06-04,977,976,1,0,,
唐山市,唐山,1302,13,2022-06-04,96,75,1,0,,
秦皇岛市,秦皇岛,1303,13,2022-06-04,22,9,1,0,,
邯郸市,邯郸,1304,13,2022-06-04,64,41,0,0,,
邢台市,邢台,1305,13,2022-06-04,136,135,1,0,,
保定市,保定,1306,13,2022-06-04,56,38,0,0,,
张家口市,张家口,1307,13,2022-06-04,43,43,0,0,,
承德市,承德,1308,13,2022-06-04,8,7,0,0,,
沧州市,沧州,1309,13,2022-06-04,138,58,3,0,,
廊坊市,廊坊,1310,13,2022-06-04,315,175,0,0,,
衡水市,衡水,1311,13,2022-06-04,14,13,0,0,,
定州市,定州,139001,13,2022-06-04,8,2,0,0,,
辛集市,辛集市,139002,13,2022-06-04,71,71,0,0,,
山西省,山西,14,0,2022-06-04,421,420,0,0,0.0,0.0
太原市,太原,1401,14,2022-06-04,109,109,0,0,,
大同市,大同,1402,14,2022-06-04,15,15,0,0,,
阳泉市,阳泉,1403,14,2022-06-04,5,5,0,0,,
长治市,长治,1404,14,2022-06-04,8,8,0,0,,
晋城市,晋城,1405,14,2022-06-04,11,11,0,0,,
