publicDate,passageTitle,passageContent
2022-03-31,2022年3月31日深圳市新冠肺炎疫情情况,"['3月30日0-24时，深圳新增6例本土确诊病例和3例本土无症状感染者。', '新增2例境外输入确诊病例（均为中国香港输入）和8例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月31日', '', '', '3月30日深圳', '在隔离观察人员中发现5例', '在重点区域和社区筛查中', '发现4例新增病例', '3月30日0-24时，深圳新增9例病例。其中，5例在隔离观察的人员排查中发现，1例在重点区域筛查中发现，3例在社区筛查中发现；6例诊断为新冠肺炎确诊病例，3例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '女，45岁，居住在罗湖区莲塘街道鹏兴花园六期，在社区筛查中发现。', '病例2', '男，7岁，居住在罗湖区莲塘街道鹏兴花园六期，在社区筛查中发现。', '病例3', '男，45岁，居住在罗湖区莲塘街道鹏兴花园六期，在隔离观察的人员排查中发现。', '病例4', '女，11岁，居住在罗湖区莲塘街道鹏兴花园六期，在隔离观察的人员排查中发现。', '病例5', '男，25岁，居住在宝安区石岩街道兰姜新村十区，在重点区域筛查中发现。', '病例6', '男，30岁，居住在宝安区石岩街道兰姜新村十区，在隔离观察的人员排查中发现。', '病例7', '男，20岁，居住在龙岗区布吉街道凤尾坑新村，在社区筛查中发现。', '病例8', '女，31岁，居住在光明区马田街道福华西三巷，在隔离观察的人员（外省来深）排查中发现。', '病例9', '男，46岁，在隔离观察的人员（外省来深）排查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及宝安、龙岗、罗湖', '经初步流调，新增病例近日主要活动轨迹为：', '宝安区', '石岩街道：永兴士多商行（宝石东路252号）、伟兴科技园、湘赣木桶饭（水田新村店）、舌尖上的牛肉面（水田新村店）。', '龙岗区', '布吉街道：方记粤火大排档', '罗湖区', '莲塘街道：森照肉菜市场、圆心友和医药（鹏兴店）、莲塘D小区。']"
2022-03-30,2022年3月30日深圳市新冠肺炎疫情情况,"['3月29日0-24时，深圳新增1例本土确诊病例和7例本土无症状感染者。', '新增4例境外输入确诊病例（其中1例为无症状感染者转确诊，均为中国香港输入）和14例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月30日', '', '', '3月29日深圳', '在隔离观察的密接者中发现4例', '在重点区域筛查和社区筛查中', '发现4例新增病例', '3月29日0-24时，深圳新增8例病例。其中，4例在隔离观察的密接人员排查中发现，2例在重点区域筛查中发现，2例在社区筛查中发现；1例诊断为新冠肺炎确诊病例，7例诊断为新冠病毒无症状感染者。', '01', '新增病例，情况如下', '病例1', '男，39岁，居住在宝安区石岩街道兰姜新村十区，在重点区域筛查中发现。', '病例2', '男，20岁，居住在宝安区石岩街道兰姜新村十区，在重点区域筛查中发现。', '病例3', '男，41岁，居住在宝安区石岩街道砖厂路2号，在社区筛查中发现。', '病例4', '女，20岁，居住在龙华区龙华街道尊享MAX酒店，在隔离观察的密接人员排查中发现。', '病例5', '女，32岁，居住在龙华区龙华街道尚品铂家酒店，在隔离观察的密接人员排查中发现。', '病例6', '女，17岁，居住在龙华区龙华街道展通大厦，在隔离观察的密接人员排查中发现。', '病例7', '女，21岁，居住在福田区南园街道埔尾村，在社区筛查中发现。', '病例8', '男，27岁，居住在罗湖区桂园街道宝丽大厦，在隔离观察的密接人员排查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02', '新增病例轨迹涉及', '宝安、福田、罗湖、南山、光明', '经初步流调，新增病例近日主要活动轨迹为：', '宝安区', '石岩街道：同富康水田工业区、石龙社区颐和路2号综合楼、鸿都百货（石龙路店）、佰和生活连锁超市（水田兰姜新村）、鸿德烟酒商行、世纪华联超市（石岩店）、湘赣木桶饭（水田新村店）、美宜佳（水田新村九区3号）、维客佳便利店（兰姜新村十区12号）、惠乐家便利店、爱玛电动车（青年路店）、万佳美便利店（水田新村店）、易站便利店（长城东路店）、兴粮品汤包（长城路店）、百佳华负一楼超市。', '福田区', '华强北街道：赛格广场、华强电子世界（二店）', '南园街道：南北药行（东园分店）、江南·酥（新城市广场店）', '罗湖区', '桂园街道：万顺商店（红宝路店）', '南山区', '桃源街道：田寮大厦东座、头号简餐（学苑大道）', '光明区', '公明街道：第一工业区安立邦科技园B栋']"
2022-03-29,2022年3月29日深圳市新冠肺炎疫情情况,"['3月28日0-24时，深圳新增3例本土确诊病例和6例本土无症状感染者。', '新增2例境外输入确诊病例（其中1例为无症状感染者转确诊，均为中国香港输入）和13例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月29日', '', '', '3月28日', '在隔离观察的密接者中发现2例', '在重点人群和社区筛查中', '发现7例新增病例', '3月28日0-24时，深圳新增9例病例。其中，2例在隔离观察的密接人员排查中发现，3例在重点人群排查中发现，4例在社区筛查中发现；3例诊断为新冠肺炎确诊病例，6例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '女，26岁，居住在罗湖区桂园街道宝丽大厦，在社区筛查中发现。', '病例2', '女，2岁，居住在罗湖区桂园街道宝丽大厦，在社区筛查中发现。', '病例3', '女，23岁，居住在罗湖区南湖街道沿河南路1072号，在隔离观察的密接人员排查中发现。', '病例4', '男，5岁，居住在罗湖区南湖街道沿河南路1072号，在隔离观察的密接人员排查中发现。', '病例5', '男，32岁，居住在罗湖区黄贝街道东湖二路28号，在重点人群排查中发现。', '病例6', '女，46岁，居住在福田区香蜜湖街道天御香山花园，在社区筛查中发现。', '病例7', '男，28岁，居住在宝安区石岩街道兰姜新村十区，在社区筛查中发现。', '病例8', '男，34岁，居住在南山区南山街道汉庭酒店（南山地铁站店），在重点人群（外省来深）排查中发现。', '病例9', '男，20岁，居住在龙华区龙华街道展通大厦，在重点人群（外省来深）排查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及罗湖、福田、宝安', '经初步流调，新增病例近日主要活动轨迹为：', '罗湖区', '桂园街道：深南东路5008号', '黄贝街道：东湖一街26号', '南湖街道：龙腾世界服饰批发市场、福美佳便利店、庐山花园B栋、野萃山分子果汁（佳宁娜店）、黄兴记商行。', '福田区', '香蜜湖街道：喜家德水饺（东海缤纷天地）、麦当劳（东海购物广场店）、百佳永辉超市（东海店）、华润万家（侨香店）、山姆会员商店（福田店）、咯柔芙·海绵蛋糕（印力店）。', '梅林街道：福田农批市场', '宝安区', '石岩街道：碗碗香小碗菜馆（兰姜新村店）、健华药业（水田分店）、龙香铁板卤肉饭馆、一味麻辣辣烫、新美好连锁百货、雄盛客家快餐店。']"
2022-03-28,2022年3月28日深圳市新冠肺炎疫情情况,"['3月27日0-24时，深圳新增1例本土确诊病例和6例本土无症状感染者。', '新增1例境外输入确诊病例（均为中国香港输入）和23例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月28日', '', '', '', '3月27日深圳在隔离观察的密接者中发现3例，在重点人群排查中发现4例新增病例', '3月27日0-24时，深圳新增7例病例。其中，3例在隔离观察的密接人员排查中发现，4例在重点人群排查中发现；1例诊断为新冠肺炎确诊病例，6例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '男，35岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例2', '男，49岁，居住在福田区沙头街道上沙龙秋村14巷，在隔离观察的密接人员排查中发现。', '病例3', '女，30岁，居住在福田区福田街道福田社区贝底田坊，在隔离观察的密接人员排查中发现。', '病例4', '女，30岁，居住在罗湖区南湖街道沿河南路1072号，在重点人群排查中发现。', '病例5', '男，54岁，居住在罗湖区桂园街道桂园路28号附近临时建筑，在重点人群排查中发现。', '病例6', '女，29岁，居住在南山区桃源街道龙祥苑，在重点人群（外省来深）排查中发现。', '病例7', '男，33岁，在重点人群（外省来深）排查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及福田、罗湖', '经初步流调，新增病例近日主要活动轨迹为：', '福田区', '华强北街道：', '曼哈数码广场C座', '罗湖区', '南湖街道：', '钱大妈（汇泰大厦店）、小超市（沿河南路1019号附10）']"
2022-03-26,2022年3月26日深圳市新冠肺炎疫情情况,"['3月25日0-24时，深圳新增2例本土确诊病例和5例本土无症状感染者。', '新增2例境外输入确诊病例（均为中国香港输入）和11例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月26日', '', '', '3月25日深圳', '在隔离观察的密接者中发现6例', '在社区筛查中发现1例新增病例', '3月25日0-24时，深圳新增7例病例。其中，1例在社区筛查中发现，6例在隔离观察的密接人员排查中发现；5例诊断为新冠病毒无症状感染者，2例诊断为新冠肺炎确诊病例。', '01、新增病例，情况如下', '病例1', '男，51岁，居住在罗湖区南湖街道和平路1085号，在隔离观察的密接人员排查中发现。', '病例2', '男，48岁，居住在罗湖区南湖街道和平路1085号，在隔离观察的密接人员排查中发现。', '病例3', '男，39岁，居住在罗湖区南湖街道和平路1085号，在隔离观察的密接人员排查中发现。', '病例4', '男，11岁，居住在罗湖区黄贝街道福德花园，在隔离观察的密接人员排查中发现。', '病例5', '男，27岁，居住在罗湖区东门街道天玺一号，在隔离观察的密接人员排查中发现。', '病例6', '女，48岁，居住在福田区沙头街道下沙村四坊，在社区筛查中发现。', '病例7', '男，33岁，居住在大鹏新区葵涌街道葵福嘉园，在隔离观察的密接人员排查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及罗湖、福田、大鹏', '经初步流调，新增病例近日主要活动轨迹为：', '罗湖区', '南湖街道：新豪发24小时便利店（和平路店）、佳佳茶行（和平路店）、百乐果坊', '福田区', '沙头街道：家家旺生鲜超市（下沙分店）', '大鹏新区', '葵涌街道：便民小店（葵兴西路2-4）']"
2022-03-25,2022年3月25日深圳市新冠肺炎疫情情况,"['3月24日0-24时，深圳新增2例本土确诊病例和1例本土无症状感染者。', '新增5例境外输入确诊病例（其中4例确诊病例，1例为无症状感染者转确诊，均为中国香港输入）和17例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月25日', '', '', '', '3月24日深圳在隔离观察的密接者中发现2例，在重点人群筛查中发现1例新增病例', '3月24日0-24时，深圳新增3例病例。其中，1例在重点人群筛查中发现，2例在隔离观察的密接人员排查中发现；2例诊断为新冠肺炎确诊病例，1例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '男，36岁，居住在福田区沙头街道上沙塘晏村10巷，在隔离观察的密接人员排查中发现。', '病例2', '女，56岁，居住在福田区香蜜湖街道侨香村，在隔离观察的密接人员排查中发现。', '病例3', '男，47岁，居住在罗湖区南湖街道和平路1085号，在重点人群筛查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及', '福田、罗湖', '经初步流调，新增病例近日主要活动轨迹为：', '福田区', '福田街道：', '中山大学附属第八医院', '罗湖区', '南湖街道：', '彩票投注站（和平路店）']"
2022-03-24,2022年3月24日深圳市新冠肺炎疫情情况,"['3月23日0-24时，深圳新增5例本土确诊病例和4例本土无症状感染者。', '新增4例境外输入确诊病例（均为中国香港输入）和16例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月24日', '', '', '3月23日深圳', '在隔离观察的密接者中发现6例', '在重点区域、重点人群和社区筛查中', '发现3例新增病例', '3月23日0-24时，深圳新增9例病例。其中，1例在社区筛查中发现，1例在重点区域筛查中发现，1例在重点人群筛查中发现，6例在隔离观察的密接人员排查中发现；5例诊断为新冠肺炎确诊病例，4例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '女，33岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例2', '男，13岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例3', '男，6岁，居住在福田区沙头街道上沙椰树村9巷，在重点区域筛查中发现。', '病例4', '女，40岁，居住在福田区福保街道益田豪园居，在隔离观察的密接人员排查中发现。', '病例5', '女，5岁，居住在福田区福保街道益田豪园居，在隔离观察的密接人员排查中发现。', '病例6', '男，27岁，居住在福田区福田街道福田社区贝底田坊，在社区筛查中发现。', '病例7', '女，38岁，居住在罗湖区黄贝街道福德花园，在隔离观察的密接人员排查中发现。', '病例8', '盐田区集中隔离人员，在重点人群筛查中发现。', '病例9', '男，22岁，居住在南山区南山街道南园工业园，在隔离观察的密接人员排查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及福田', '经初步流调，新增病例近日主要活动轨迹为：', '福田区', '沙头街道：浩然便利店（上沙椰树村9巷10号1楼）']"
2022-03-23,2022年3月23日深圳市新冠肺炎疫情情况,"['3月22日0-24时，深圳新增13例本土确诊病例和5例本土无症状感染者。', '新增3例境外输入确诊病例（均为中国香港输入）和18例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月23日', '', '', '', '3月22日深圳在隔离观察的密接者中发现15例，在重点区域、社区筛查中发现3例', '3月22日0-24时，深圳新增18例病例。其中，2例在社区筛查中发现，1例在重点区域筛查中发现，15例在隔离观察的密接人员排查中发现；13例诊断为新冠肺炎确诊病例，5例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '男，41岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例2', '男，47岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例3', '男，12岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例4', '男，56岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例5', '男，31岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例6', '女，42岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例7', '女，33岁，居住在福田区沙头街道上沙塘晏村8巷，在隔离观察的密接人员排查中发现。', '病例8', '男，44岁，居住在福田区沙头街道上沙椰树村9巷，在隔离观察的密接人员排查中发现。', '病例9', '女，31岁，居住在福田区沙头街道上沙龙秋村12巷，在隔离观察的密接人员排查中发现。', '病例10', '男，18岁，居住在福田区香蜜湖街道侨香村，在隔离观察的密接人员排查中发现。', '病例11', '男，28岁，居住在福田区福保街道石厦东村，在社区筛查中发现。', '病例12', '女，53岁，居住在罗湖区东门街道天玺一号，在社区筛查中发现。', '病例13', '女，69岁，居住在罗湖区东门街道聚龙大厦，在重点区域筛查中发现。', '病例14', '女，57岁，居住在罗湖区桂园街道华瑞大厦，在隔离观察的密接人员排查中发现。', '病例15', '男，42岁，居住在罗湖区黄贝街道福德花园，在隔离观察的密接人员排查中发现。', '病例16', '男，29岁，居住在南山区南山街道前海时代，在隔离观察的密接人员排查中发现。', '病例17', '女，1岁，居住在南山区南山街道前海时代，在隔离观察的密接人员排查中发现。', '病例18', '女，27岁，居住在宝安区西乡街道塘西新村11巷，在隔离观察的密接人员排查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及罗湖、福田', '经初步流调，新增病例近日主要活动轨迹为：', '罗湖区', '南湖街道：', '百信生活超市（船步路店）', '黄贝街道：', '海珑华苑', '东门街道：', '港玺进口优品超市', '福田区', '香蜜湖街道：', '侨香公馆', '沙头街道：', '浩然便利店（上沙椰树村9巷10号1楼）', '', '深圳：每日新增阳性病例数稳步下降，疫情形势总体可控', '在3月22日举行的深圳市疫情防控新闻发布会上，深圳市政府副秘书长黄强介绍，深圳市三轮核酸检测取得预期成果，每日新增阳性病例数稳步下降，社会面初筛阳性病例数下降至19日的1例、20日的2例、21日的1例，今天0-18时的1例，全市疫情形势总体可控。', '深圳还面临外部疫情输入和内部反弹风险交织叠加的挑战，防控形势依然严峻复杂。特别是，本轮疫情也给全市经济社会运行带来冲击，一些行业企业特别是中小微企业生产经营面临困难，部分市民群众的生活也受到一定影响。', '接下来，深圳将更好统筹推进疫情防控和经济社会发展，坚持“外防输入、内防反弹”总策略和“动态清零”总方针，抓实抓细疫情防控各项工作，不断优化疫情防控举措，提高科学精准防控水平。深圳将因时因势优化常态化疫情防控举措，同时，全力以赴抓好经济“稳增长”工作，在疫情得到初步控制的当下，迅速恢复经济。一是尽快出台助企纾困一揽子政策；二是确保产业链供应链安全稳定。三是全心全意做好企业服务。']"
2022-03-22,2022年3月22日深圳市新冠肺炎疫情情况,"['3月21日0-24时，深圳新增23例本土确诊病例和5例本土无症状感染者。', '新增1例境外输入确诊病例（均为中国香港输入）和26例输入无症状感染者（均为中国香港输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月22日', '', '', '3月21日深圳在隔离观察的密接者中发现19例，在重点区域、重点人群和社区筛查中发现9例新增病例', '3月21日0-24时，深圳新增28例病例。其中，1例在社区筛查中发现，1例在重点人群筛查中发现，7例在重点区域筛查中发现，19例在隔离观察的密接人员排查中发现；23例诊断为新冠肺炎确诊病例，5例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '女，27岁，居住在福田区沙头街道上沙塘晏村4巷，在重点区域筛查中发现。', '病例2', '男，30岁，居住在福田区沙头街道上沙塘晏村6巷，在隔离观察的密接人员排查中发现。', '病例3', '男，60岁，居住在福田区沙头街道上沙塘晏村6巷，在隔离观察的密接人员排查中发现。', '病例4', '女，54岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例5', '男，26岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例6', '女，28岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例7', '女，3岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例8', '女，34岁，居住在福田区沙头街道上沙塘晏村8巷，在隔离观察的密接人员排查中发现。', '病例9', '女，35岁，居住在福田区沙头街道上沙塘晏村13巷，在隔离观察的密接人员排查中发现。', '病例10', '女，40岁，居住在福田区沙头街道上沙椰树村9巷，在重点区域筛查中发现。', '病例11', '女，4岁，居住在福田区沙头街道上沙龙秋村14巷，在隔离观察的密接人员排查中发现。', '病例12', '男，57岁，居住在福田区香蜜湖街道侨香村，在重点区域筛查中发现。', '病例13', '女，30岁，居住在福田区莲花街道天一名居，在隔离观察的密接人员排查中发现。', '病例14', '男，45岁，居住在福田区梅林街道梅林一村，在隔离观察的密接人员排查中发现。', '病例15', '男，48岁，居住在福田区园岭街道百花六路4号，在隔离观察的密接人员排查中发现。', '病例16', '男，30岁，居住在福田区福田街道同庆路9号附近临时建筑，在重点人群筛查中发现。', '病例17', '男，44岁，居住在宝安区沙井街道环镇路201号，在重点区域筛查中发现。', '病例18', '女，41岁，居住在宝安区沙井街道环镇路201号，在重点区域筛查中发现。', '病例19', '男，10岁，居住在宝安区沙井街道环镇路201号，在重点区域筛查中发现。', '病例20', '男，6岁，居住在宝安区沙井街道环镇路201号，在重点区域筛查中发现。', '病例21', '女，18岁，居住在宝安区沙井街道坣岗盛芳园北区，在隔离观察的密接人员排查中发现。', '病例22', '男，1岁半，居住在宝安区沙井街道和一新村，在隔离观察的密接人员排查中发现。', '病例23', '女，26岁，居住在南山区南山街道前海时代CEO公馆，在隔离观察的密接人员排查中发现。', '病例24', '男，25岁，居住在南山区南山街道前海时代CEO公馆，在隔离观察的密接人员排查中发现。', '病例25', '女，50岁，居住在南山区南山街道前海时代广场，在隔离观察的密接人员排查中发现。', '病例26', '男，31岁，居住在南山区南山街道7天连锁酒店（学府路店），在隔离观察的密接人员排查中发现。', '病例27', '女，47岁，居住在南山区南头街道前海东岸花园，在隔离观察的密接人员排查中发现。', '病例28', '女，9岁，居住在罗湖区黄贝街道福德花园，在社区筛查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及福田', '经初步流调，新增病例近日主要活动轨迹为：', '福田区', '沙头街道：', '浩然便利店（上沙椰树村9巷10号1楼）', '虽然深圳社会面的疫情管控措施已逐步解除，生产生活秩序有序恢复，但常态化不是正常化，还要继续实施分区分级差异化的防控举措，继续做好“三区”（防范区、封控区、管控区）管控。', '怎么“管”？一图读懂', '', '', '']"
2022-03-21,2022年3月21日深圳市新冠肺炎疫情情况,"['3月20日0-24时，深圳新增33例本土确诊病例和11例本土无症状感染者。', '新增3例境外输入确诊病例（2例确诊病例，1例为无症状感染者转确诊，均为中国香港输入）和23例输入无症状感染者（22例为中国香港输入，1例为哈萨克斯坦输入）。', '以上病例抵深后被纳入闭环管理或管控范围，后转送至深圳市第三人民医院隔离治疗，情况稳定。', '深圳市卫生健康委员会', '2022年3月21日', '', '', '', '3月20日深圳在隔离观察的密接者中发现30例，在重点区域、重点人群和社区筛查中发现14例新增病例', '3月20日0-24时，深圳新增44例病例。其中，2例在社区筛查中发现，3例在重点人群筛查中发现，9例在重点区域筛查中发现，30例在隔离观察的密接人员排查中发现；33例诊断为新冠肺炎确诊病例，11例诊断为新冠病毒无症状感染者。', '01、新增病例，情况如下', '病例1', '男，28岁，居住在福田区沙头街道上沙塘晏村3巷，在重点区域筛查中发现。', '病例2', '男，28岁，居住在福田区沙头街道上沙塘晏村4巷，在隔离观察的密接人员排查中发现。', '病例3', '女，26岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例4', '女，32岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例5', '男，3岁，居住在福田区沙头街道上沙塘晏村5巷，在隔离观察的密接人员排查中发现。', '病例6', '男，31岁，居住在福田区沙头街道上沙塘晏村5巷，在重点区域筛查中发现。', '病例7', '男，53岁，居住在福田区沙头街道上沙塘晏村5巷，在重点区域筛查中发现。', '病例8', '女，7岁，居住在福田区沙头街道上沙塘晏村5巷，在重点区域筛查中发现。', '病例9', '男，40岁，居住在福田区沙头街道上沙塘晏村6巷，在隔离观察的密接人员排查中发现。', '病例10', '男，6岁，居住在福田区沙头街道上沙塘晏村6巷，在隔离观察的密接人员排查中发现。', '病例11', '女，52岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例12', '男，23岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例13', '男，56岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例14', '男，2岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例15', '男，52岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例16', '女，33岁，居住在福田区沙头街道上沙塘晏村7巷，在隔离观察的密接人员排查中发现。', '病例17', '男，30岁，居住在福田区沙头街道上沙塘晏村7巷，在重点区域筛查中发现。', '病例18', '女，30岁，居住在福田区沙头街道上沙塘晏村7巷，在重点区域筛查中发现。', '病例19', '女，52岁，居住在福田区沙头街道上沙塘晏村8巷，在重点区域筛查中发现。', '病例20', '女，7岁，居住在福田区沙头街道上沙塘晏村8巷，在隔离观察的密接人员排查中发现。', '病例21', '男，27岁，居住在福田区沙头街道上沙塘晏村8巷，在隔离观察的密接人员排查中发现。', '病例22', '男，31岁，居住在福田区沙头街道上沙塘晏村9巷，在重点区域筛查中发现。', '病例23', '男，5岁，居住在福田区沙头街道上沙塘晏村10巷，在隔离观察的密接人员排查中发现。', '病例24', '女，8岁，居住在福田区沙头街道上沙塘晏村10巷，在隔离观察的密接人员排查中发现。', '病例25', '女，37岁，居住在福田区沙头街道上沙塘晏村10巷，在隔离观察的密接人员排查中发现。', '病例26', '男，37岁，居住在福田区沙头街道上沙塘晏村13巷，在隔离观察的密接人员排查中发现。', '病例27', '男，13岁，居住在福田区沙头街道上沙龙秋村11巷，在重点区域筛查中发现。', '病例28', '女，49岁，居住在福田区沙头街道上沙龙秋村14巷，在隔离观察的密接人员排查中发现。', '病例29', '男，35岁，居住在福田区沙头街道上沙龙秋村16巷，在隔离观察的密接人员排查中发现。', '病例30', '男，37岁，居住在福田区沙头街道上沙龙秋村16巷，在隔离观察的密接人员排查中发现。', '病例31', '男，43岁，居住在福田区沙头街道新洲大厦，在隔离观察的密接人员排查中发现。', '病例32', '女，29岁，居住在福田区福田街道共和世家，在隔离观察的密接人员排查中发现。', '病例33', '女，64岁，居住在福田区梅林街道碧华庭居翠园，在隔离观察的密接人员排查中发现。', '病例34', '女，33岁，居住在福田区南园街道御景华城，在社区筛查中发现。', '病例35', '男，35岁，居住在福田区香蜜湖街道翠海花园，在隔离观察的密接人员排查中发现。', '病例36至38', '福田区集中隔离人员，在重点人群筛查中发现。', '病例39', '女，26岁，居住在龙岗区布吉街道东心岭9巷，在隔离观察的密接人员排查中发现。', '病例40', '男，47岁，居住在龙岗区吉华街道下水径新村东9巷，在隔离观察的密接人员排查中发现。', '病例41', '男，37岁，居住在龙岗区龙岗街道龙昌高级公寓，在隔离观察的密接人员排查中发现。', '病例42', '男，51岁，居住在南山区南山街道南园工业园，在隔离观察的密接人员排查中发现。', '病例43', '男，56岁，居住在南山区南山街道南园工业园，在隔离观察的密接人员排查中发现。', '病例44', '女，43岁，居住在罗湖区桂园街道华瑞大厦，在社区筛查中发现。', '上述新增病例均已转送至市第三人民医院应急院区隔离治疗，情况稳定。', '02、新增病例轨迹涉及龙岗', '经初步流调，新增病例近日主要活动轨迹为：', '龙岗区', '吉华街道：', '烈记肉丸、兴万城生活超市、富海早餐店']"
