CityName,CityCode,ParentCode
北京市,11,0
天津市,12,0
河北省,13,0
山西省,14,0
内蒙古自治区,15,0
辽宁省,21,0
吉林省,22,0
黑龙江省,23,0
上海市,31,0
江苏省,32,0
浙江省,33,0
安徽省,34,0
福建省,35,0
江西省,36,0
山东省,37,0
河南省,41,0
湖北省,42,0
湖南省,43,0
广东省,44,0
广西壮族自治区,45,0
海南省,46,0
重庆市,50,0
四川省,51,0
贵州省,52,0
云南省,53,0
西藏自治区,54,0
陕西省,61,0
甘肃省,62,0
青海省,63,0
宁夏回族自治区,64,0
新疆维吾尔自治区,65,0
台湾省,71,0
香港特别行政区,81,0
澳门特别行政区,82,0
石家庄市,1301,13
唐山市,1302,13
秦皇岛市,1303,13
邯郸市,1304,13
邢台市,1305,13
保定市,1306,13
张家口市,1307,13
承德市,1308,13
沧州市,1309,13
廊坊市,1310,13
衡水市,1311,13
太原市,1401,14
大同市,1402,14
阳泉市,1403,14
长治市,1404,14
晋城市,1405,14
朔州市,1406,14
晋中市,1407,14
运城市,1408,14
忻州市,1409,14
临汾市,1410,14
吕梁市,1411,14
呼和浩特市,1501,15
包头市,1502,15
乌海市,1503,15
赤峰市,1504,15
通辽市,1505,15
鄂尔多斯市,1506,15
呼伦贝尔市,1507,15
巴彦淖尔市,1508,15
乌兰察布市,1509,15
兴安盟,1522,15
锡林郭勒盟,1525,15
阿拉善盟,1529,15
沈阳市,2101,21
大连市,2102,21
鞍山市,2103,21
抚顺市,2104,21
本溪市,2105,21
丹东市,2106,21
锦州市,2107,21
营口市,2108,21
阜新市,2109,21
辽阳市,2110,21
盘锦市,2111,21
铁岭市,2112,21
朝阳市,2113,21
葫芦岛市,2114,21
长春市,2201,22
吉林市,2202,22
四平市,2203,22
辽源市,2204,22
通化市,2205,22
白山市,2206,22
松原市,2207,22
白城市,2208,22
延边朝鲜族自治州,2224,22
哈尔滨市,2301,23
齐齐哈尔市,2302,23
鸡西市,2303,23
鹤岗市,2304,23
双鸭山市,2305,23
大庆市,2306,23
伊春市,2307,23
佳木斯市,2308,23
七台河市,2309,23
牡丹江市,2310,23
黑河市,2311,23
绥化市,2312,23
大兴安岭地区,2327,23
南京市,3201,32
无锡市,3202,32
徐州市,3203,32
常州市,3204,32
苏州市,3205,32
南通市,3206,32
连云港市,3207,32
淮安市,3208,32
盐城市,3209,32
扬州市,3210,32
镇江市,3211,32
泰州市,3212,32
宿迁市,3213,32
杭州市,3301,33
宁波市,3302,33
温州市,3303,33
嘉兴市,3304,33
湖州市,3305,33
绍兴市,3306,33
金华市,3307,33
衢州市,3308,33
舟山市,3309,33
台州市,3310,33
丽水市,3311,33
合肥市,3401,34
芜湖市,3402,34
蚌埠市,3403,34
淮南市,3404,34
马鞍山市,3405,34
淮北市,3406,34
铜陵市,3407,34
安庆市,3408,34
黄山市,3410,34
滁州市,3411,34
阜阳市,3412,34
宿州市,3413,34
六安市,3415,34
亳州市,3416,34
池州市,3417,34
宣城市,3418,34
福州市,3501,35
厦门市,3502,35
莆田市,3503,35
三明市,3504,35
泉州市,3505,35
漳州市,3506,35
南平市,3507,35
龙岩市,3508,35
宁德市,3509,35
南昌市,3601,36
景德镇市,3602,36
萍乡市,3603,36
九江市,3604,36
新余市,3605,36
鹰潭市,3606,36
赣州市,3607,36
吉安市,3608,36
宜春市,3609,36
抚州市,3610,36
上饶市,3611,36
济南市,3701,37
青岛市,3702,37
淄博市,3703,37
枣庄市,3704,37
东营市,3705,37
烟台市,3706,37
潍坊市,3707,37
济宁市,3708,37
泰安市,3709,37
威海市,3710,37
日照市,3711,37
莱芜市,3712,37
临沂市,3713,37
德州市,3714,37
聊城市,3715,37
滨州市,3716,37
菏泽市,3717,37
郑州市,4101,41
开封市,4102,41
洛阳市,4103,41
平顶山市,4104,41
安阳市,4105,41
鹤壁市,4106,41
新乡市,4107,41
焦作市,4108,41
濮阳市,4109,41
许昌市,4110,41
漯河市,4111,41
三门峡市,4112,41
南阳市,4113,41
商丘市,4114,41
信阳市,4115,41
周口市,4116,41
驻马店市,4117,41
武汉市,4201,42
黄石市,4202,42
十堰市,4203,42
宜昌市,4205,42
襄阳市,4206,42
鄂州市,4207,42
荆门市,4208,42
孝感市,4209,42
荆州市,4210,42
黄冈市,4211,42
咸宁市,4212,42
随州市,4213,42
恩施土家族苗族自治州,4228,42
长沙市,4301,43
株洲市,4302,43
湘潭市,4303,43
衡阳市,4304,43
邵阳市,4305,43
岳阳市,4306,43
常德市,4307,43
张家界市,4308,43
益阳市,4309,43
郴州市,4310,43
永州市,4311,43
怀化市,4312,43
娄底市,4313,43
湘西土家族苗族自治州,4331,43
广州市,4401,44
韶关市,4402,44
深圳市,4403,44
珠海市,4404,44
汕头市,4405,44
佛山市,4406,44
江门市,4407,44
湛江市,4408,44
茂名市,4409,44
