CityName,CityCode,LastUpdate,incrConfirmed
河西区,120103,2022-01-13,1
津南区,120112,2022-01-13,40
郑州市,4101,2022-01-13,3
安阳市,4105,2022-01-13,55
许昌市,4110,2022-01-13,28
信阳市,4115,2022-01-13,1
深圳市,4403,2022-01-13,1
西安市,6101,2022-01-13,6
河西区,120103,2022-01-14,2
红桥区,120106,2022-01-14,1
西青区,120111,2022-01-14,3
津南区,120112,2022-01-14,28
静安区,310106,2022-01-14,2
郑州市,4101,2022-01-14,4
安阳市,4105,2022-01-14,69
许昌市,4110,2022-01-14,25
中山市,4420,2022-01-14,1
西安市,6101,2022-01-14,8
西青区,120111,2022-01-15,2
津南区,120112,2022-01-15,37
杭州市,3301,2022-01-15,1
郑州市,4101,2022-01-15,3
安阳市,4105,2022-01-15,37
许昌市,4110,2022-01-15,12
深圳市,4403,2022-01-15,2
珠海市,4404,2022-01-15,6
西安市,6101,2022-01-15,4
海淀区,110108,2022-01-16,1
西青区,120111,2022-01-16,1
津南区,120112,2022-01-16,32
郑州市,4101,2022-01-16,7
安阳市,4105,2022-01-16,15
许昌市,4110,2022-01-16,7
珠海市,4404,2022-01-16,1
西安市,6101,2022-01-16,1
郑州市,4101,2022-01-17,1
安阳市,4105,2022-01-17,60
许昌市,4110,2022-01-17,7
深圳市,4403,2022-01-17,2
珠海市,4404,2022-01-17,5
梅州市,4414,2022-01-17,1
中山市,4420,2022-01-17,1
西安市,6101,2022-01-17,5
海淀区,110108,2022-01-18,1
河西区,120103,2022-01-18,1
西青区,120111,2022-01-18,2
津南区,120112,2022-01-18,15
郑州市,4101,2022-01-18,4
安阳市,4105,2022-01-18,94
许昌市,4110,2022-01-18,4
珠海市,4404,2022-01-18,5
西安市,6101,2022-01-18,1
海淀区,110108,2022-01-19,1
郑州市,4101,2022-01-19,1
安阳市,4105,2022-01-19,29
许昌市,4110,2022-01-19,3
深圳市,4403,2022-01-19,1
珠海市,4404,2022-01-19,6
朝阳区,110105,2022-01-20,1
丰台区,110106,2022-01-20,2
朝阳市,2113,2022-01-20,1
郑州市,4101,2022-01-20,1
安阳市,4105,2022-01-20,19
许昌市,4110,2022-01-20,4
珠海市,4404,2022-01-20,2
丰台区,110106,2022-01-21,2
房山区,110111,2022-01-21,3
安阳市,4105,2022-01-21,3
珠海市,4404,2022-01-21,4
丰台区,110106,2022-01-22,6
海淀区,110108,2022-01-22,2
大兴区,110115,2022-01-22,1
安阳市,4105,2022-01-22,4
珠海市,4404,2022-01-22,3
丰台区,110106,2022-01-23,6
海淀区,110108,2022-01-23,1
房山区,110111,2022-01-23,2
安阳市,4105,2022-01-23,1
珠海市,4404,2022-01-23,3
西双版纳傣族自治州,5328,2022-01-23,1
丰台区,110106,2022-01-24,4
房山区,110111,2022-01-24,1
大兴区,110115,2022-01-24,1
河北区,120105,2022-01-24,3
保定市,1306,2022-01-24,3
大同市,1402,2022-01-24,1
济南市,3701,2022-01-24,2
安阳市,4105,2022-01-24,1
珠海市,4404,2022-01-24,1
西双版纳傣族自治州,5328,2022-01-24,3
西城区,110102,2022-01-25,1
朝阳区,110105,2022-01-25,4
丰台区,110106,2022-01-25,11
大兴区,110115,2022-01-25,1
河北区,120105,2022-01-25,2
津南区,120112,2022-01-25,1
沈阳市,2101,2022-01-25,1
朝阳市,2113,2022-01-25,4
牡丹江市,2310,2022-01-25,4
奉贤区,310120,2022-01-25,1
安阳市,4105,2022-01-25,3
伊犁哈萨克自治州,6540,2022-01-25,6
西城区,110102,2022-01-26,1
朝阳区,110105,2022-01-26,3
丰台区,110106,2022-01-26,9
大兴区,110115,2022-01-26,1
河北区,120105,2022-01-26,1
保定市,1306,2022-01-26,1
沈阳市,2101,2022-01-26,1
朝阳市,2113,2022-01-26,3
牡丹江市,2310,2022-01-26,4
杭州市,3301,2022-01-26,1
安阳市,4105,2022-01-26,1
中山市,4420,2022-01-26,1
伊犁哈萨克自治州,6540,2022-01-26,2
丰台区,110106,2022-01-27,5
河北区,120105,2022-01-27,4
廊坊市,1310,2022-01-27,4
吉林市,2202,2022-01-27,1
牡丹江市,2310,2022-01-27,5
奉贤区,310120,2022-01-27,1
杭州市,3301,2022-01-27,6
安阳市,4105,2022-01-27,1
安顺市,5204,2022-01-27,1
伊犁哈萨克自治州,6540,2022-01-27,1
西城区,110102,2022-01-29,1
丰台区,110106,2022-01-29,4
河北区,120105,2022-01-29,1
保定市,1306,2022-01-29,1
大同市,1402,2022-01-29,1
牡丹江市,2310,2022-01-29,2
杭州市,3301,2022-01-29,18
安阳市,4105,2022-01-29,1
伊犁哈萨克自治州,6540,2022-01-29,3
西城区,110102,2022-01-30,1
朝阳区,110105,2022-01-30,2
丰台区,110106,2022-01-30,11
大兴区,110115,2022-01-30,4
津南区,120112,2022-01-30,1
朝阳市,2113,2022-01-30,2
牡丹江市,2310,2022-01-30,4
杭州市,3301,2022-01-30,19
安阳市,4105,2022-01-30,1
三门峡市,4112,2022-01-30,1
西双版纳傣族自治州,5328,2022-01-30,1
朝阳区,110105,2022-01-31,1
丰台区,110106,2022-01-31,2
滨海新区,120116,2022-01-31,3
朝阳市,2113,2022-01-31,1
牡丹江市,2310,2022-01-31,1
杭州市,3301,2022-01-31,24
平顶山市,4104,2022-01-31,1
朝阳区,110105,2022-02-01,1
丰台区,110106,2022-02-01,1
河北区,120105,2022-02-01,4
红桥区,120106,2022-02-01,2
津南区,120112,2022-02-01,1
衡水市,1311,2022-02-01,4
朝阳市,2113,2022-02-01,1
杭州市,3301,2022-02-01,13
深圳市,4403,2022-02-01,1
丰台区,110106,2022-02-02,2
河东区,120102,2022-02-02,2
河北区,120105,2022-02-02,1
滨海新区,120116,2022-02-02,4
衡水市,1311,2022-02-02,1
吉林市,2202,2022-02-02,1
杭州市,3301,2022-02-02,15
深圳市,4403,2022-02-02,2
惠州市,4413,2022-02-02,1
梅州市,4414,2022-02-02,1
河源市,4416,2022-02-02,1
云浮市,4453,2022-02-02,1
丰台区,110106,2022-02-03,1
大兴区,110115,2022-02-03,1
杭州市,3301,2022-02-03,2
深圳市,4403,2022-02-03,4
惠州市,4413,2022-02-03,2
云浮市,4453,2022-02-03,4
杭州市,3301,2022-02-04,2
深圳市,4403,2022-02-04,4
惠州市,4413,2022-02-04,1
丰台区,110106,2022-02-05,1
邵阳市,4305,2022-02-05,1
深圳市,4403,2022-02-05,2
惠州市,4413,2022-02-05,2
云浮市,4453,2022-02-05,2
百色市,4510,2022-02-05,1
西城区,110102,2022-02-06,1
朝阳区,110105,2022-02-06,1
河北区,120105,2022-02-06,2
廊坊市,1310,2022-02-06,2
朝阳市,2113,2022-02-06,1
邵阳市,4305,2022-02-06,1
惠州市,4413,2022-02-06,1
百色市,4510,2022-02-06,43
葫芦岛市,2114,2022-02-08,1
百色市,4510,2022-02-08,83
葫芦岛市,2114,2022-02-09,1
百色市,4510,2022-02-09,72
吉林市,2202,2022-02-10,2
百色市,4510,2022-02-10,7
沈阳市,2101,2022-02-11,1
葫芦岛市,2114,2022-02-11,26
百色市,4510,2022-02-11,38
铜仁市,5206,2022-02-11,1
葫芦岛市,2114,2022-02-12,10
百色市,4510,2022-02-12,30
西青区,120111,2022-02-13,1
葫芦岛市,2114,2022-02-13,11
深圳市,4403,2022-02-13,1
南宁市,4501,2022-02-13,1
百色市,4510,2022-02-13,12
文山壮族苗族自治州,5326,2022-02-13,2
