day,Longitude,Latitude,Area,new_cases,state,county
0,109.49459261857504,30.27793957530109,24111,105,湖北,恩施州
0,107.5284027057371,26.26061619607384,26195,1,贵州,黔南州
0,107.9894462407788,26.58970296982603,30339,2,贵州,黔东南州
1,109.49459261857504,30.27793957530109,24111,6,湖北,恩施州
1,101.96854674579022,30.05527884351838,152629,1,四川,甘孜州
1,102.2735026809702,27.88775230036972,60423,1,四川,凉山州
1,81.28102701053592,43.93849011501018,267353,1,新疆,伊犁州
1,100.90743432145598,36.96066282412982,34443,1,青海,海北州
2,109.49459261857504,30.27793957530109,24111,12,湖北,恩施州
2,101.96854674579022,30.05527884351838,152629,2,四川,甘孜州
2,107.5284027057371,26.26061619607384,26195,1,贵州,黔南州
2,104.92788910270583,25.11186461885512,16805,1,贵州,黔西南州
2,81.28102701053592,43.93849011501018,267353,1,新疆,伊犁州
2,100.90743432145598,36.96066282412982,34443,2,青海,海北州
3,109.49459261857504,30.27793957530109,24111,15,湖北,恩施州
3,101.96854674579022,30.05527884351838,152629,2,四川,甘孜州
3,102.2735026809702,27.88775230036972,60423,1,四川,凉山州
3,107.9894462407788,26.58970296982603,30339,1,贵州,黔东南州
3,104.92788910270583,25.11186461885512,16805,1,贵州,黔西南州
3,81.28102701053592,43.93849011501018,267353,2,新疆,伊犁州
4,109.49459261857504,30.27793957530109,24111,6,湖北,恩施州
4,101.96854674579022,30.05527884351838,152629,2,四川,甘孜州
5,109.49459261857504,30.27793957530109,24111,13,湖北,恩施州
5,101.96854674579022,30.05527884351838,152629,5,四川,甘孜州
5,107.5284027057371,26.26061619607384,26195,1,贵州,黔南州
6,109.49459261857504,30.27793957530109,24111,3,湖北,恩施州
6,102.2735026809702,27.88775230036972,60423,2,四川,凉山州
6,104.92788910270583,25.11186461885512,16805,1,贵州,黔西南州
6,87.3150016244744,44.01685415991987,73659,2,新疆,昌吉州
7,109.49459261857504,30.27793957530109,24111,11,湖北,恩施州
