CityName,CityShortName,CityCode,ParentCode,LastUpdate,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
北京市,北京,11,0,2022-01-11,1219.0,1199.0,9.0,1.0,0.0,0.0
东城区,东城,110101,0,2022-01-11,19.0,19.0,0.0,0.0,0.0,0.0
西城区,西城,110102,0,2022-01-11,59.0,59.0,0.0,0.0,0.0,0.0
朝阳区,朝阳,110105,0,2022-01-11,84.0,80.0,0.0,0.0,0.0,0.0
丰台区,丰台,110106,0,2022-01-11,277.0,273.0,0.0,0.0,0.0,0.0
石景山区,石景山,110107,0,2022-01-11,15.0,15.0,0.0,0.0,0.0,0.0
海淀区,海淀,110108,0,2022-01-11,90.0,82.0,0.0,0.0,0.0,0.0
门头沟区,门头沟,110109,0,2022-01-11,5.0,5.0,0.0,0.0,0.0,0.0
房山区,房山,110111,0,2022-01-11,25.0,20.0,0.0,0.0,0.0,0.0
通州区,通州,110112,0,2022-01-11,21.0,11.0,9.0,0.0,0.0,0.0
顺义区,顺义,110113,0,2022-01-11,45.0,45.0,0.0,0.0,0.0,0.0
昌平区,昌平,110114,0,2022-01-11,69.0,32.0,0.0,0.0,0.0,0.0
大兴区,大兴,110115,0,2022-01-11,134.0,134.0,0.0,0.0,0.0,0.0
怀柔区,怀柔,110116,0,2022-01-11,8.0,8.0,0.0,0.0,0.0,0.0
平谷区,平谷,110117,0,2020-08-20,0.0,0.0,0.0,0.0,0.0,0.0
密云区,,110118,0,,0.0,0.0,0.0,0.0,0.0,0.0
延庆区,,110119,0,,0.0,0.0,0.0,0.0,0.0,0.0
天津市,天津,12,0,2022-01-11,683.0,547.0,3.0,33.0,6.0,0.0
和平区,和平,120101,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
河东区,河东,120102,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
河西区,河西,120103,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
南开区,南开,120104,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
河北区,河北,120105,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
红桥区,红桥,120106,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
东丽区,东丽,120110,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
西青区,西青,120111,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
津南区,津南,120112,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
北辰区,北辰,120113,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
武清区,武清,120114,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
宝坻区,宝坻,120115,0,2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0
滨海新区,滨海新区,120116,0,2022-01-11,13.0,13.0,0.0,0.0,0.0,0.0
宁河区,,120117,0,,0.0,0.0,0.0,0.0,0.0,0.0
静海区,,120118,0,,0.0,0.0,0.0,0.0,0.0,0.0
蓟州区,,120119,0,,0.0,0.0,0.0,0.0,0.0,0.0
河北省,河北,13,0,2022-01-11,1458.0,1451.0,7.0,0.0,0.0,0.0
石家庄市,石家庄,1301,0,2022-01-11,963.0,962.0,1.0,0.0,0.0,0.0
唐山市,唐山,1302,0,2022-01-11,58.0,57.0,1.0,0.0,0.0,0.0
秦皇岛市,秦皇岛,1303,0,2022-01-11,10.0,9.0,1.0,0.0,0.0,0.0
邯郸市,邯郸,1304,0,2022-01-11,32.0,32.0,0.0,0.0,0.0,0.0
邢台市,邢台,1305,0,2022-01-11,96.0,95.0,1.0,0.0,0.0,0.0
保定市,保定,1306,0,2022-01-11,51.0,51.0,0.0,0.0,0.0,0.0
张家口市,张家口,1307,0,2022-01-11,43.0,43.0,0.0,0.0,0.0,0.0
承德市,承德,1308,0,2022-01-11,7.0,7.0,0.0,0.0,0.0,0.0
沧州市,沧州,1309,0,2022-01-11,49.0,46.0,3.0,0.0,0.0,0.0
廊坊市,廊坊,1310,0,2022-01-11,33.0,33.0,0.0,0.0,0.0,0.0
衡水市,衡水,1311,0,2022-01-11,8.0,8.0,0.0,0.0,0.0,0.0
定州市,,139001,0,,0.0,0.0,0.0,0.0,0.0,0.0
辛集市,,139002,0,,0.0,0.0,0.0,0.0,0.0,0.0
山西省,山西,14,0,2022-01-11,266.0,265.0,0.0,0.0,0.0,0.0
太原市,太原,1401,0,2022-01-11,21.0,21.0,0.0,0.0,0.0,0.0
大同市,大同,1402,0,2022-01-11,12.0,12.0,0.0,0.0,0.0,0.0
阳泉市,阳泉,1403,0,2022-01-11,4.0,4.0,0.0,0.0,0.0,0.0
长治市,长治,1404,0,2022-01-11,8.0,8.0,0.0,0.0,0.0,0.0
晋城市,晋城,1405,0,2022-01-11,10.0,10.0,0.0,0.0,0.0,0.0
朔州市,朔州,1406,0,2022-01-11,8.0,8.0,0.0,0.0,0.0,0.0
晋中市,晋中,1407,0,2022-01-11,41.0,41.0,0.0,0.0,0.0,0.0
运城市,运城,1408,0,2022-01-11,20.0,19.0,0.0,0.0,0.0,0.0
忻州市,忻州,1409,0,2022-01-11,7.0,7.0,0.0,0.0,0.0,0.0
临汾市,临汾,1410,0,2022-01-11,2.0,2.0,0.0,0.0,0.0,0.0
吕梁市,吕梁,1411,0,2022-01-11,6.0,6.0,0.0,0.0,0.0,0.0
内蒙古自治区,内蒙古,15,0,2022-01-11,1191.0,1185.0,1.0,0.0,0.0,0.0
呼和浩特市,呼和浩特,1501,0,2022-01-11,10.0,10.0,0.0,0.0,0.0,0.0
包头市,包头,1502,0,2022-01-11,11.0,11.0,0.0,0.0,0.0,0.0
乌海市,乌海,1503,0,2022-01-11,2.0,2.0,0.0,0.0,0.0,0.0
赤峰市,赤峰,1504,0,2022-01-11,9.0,9.0,0.0,0.0,0.0,0.0
通辽市,通辽,1505,0,2022-01-11,9.0,9.0,0.0,0.0,0.0,0.0
鄂尔多斯市,鄂尔多斯,1506,0,2022-01-11,12.0,12.0,0.0,0.0,0.0,0.0
呼伦贝尔市,呼伦贝尔,1507,0,2022-01-11,596.0,596.0,0.0,0.0,0.0,0.0
巴彦淖尔市,巴彦淖尔,1508,0,2022-01-11,8.0,7.0,1.0,0.0,0.0,0.0
乌兰察布市,乌兰察布,1509,0,2022-01-11,3.0,3.0,0.0,0.0,0.0,0.0
